Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2018,Jan-Jun 2018,Africa,South Africa,"Eastern Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"African black oystercatcher",-,-,-,-,Animal,1,0,0,1,-
2018,Jan-Jun 2018,Africa,South Africa,"Eastern Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Cape cormorant",-,-,-,-,Animal,1,0,0,1,-
2018,Jan-Jun 2018,Africa,South Africa,"Eastern Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Common Tern",-,-,-,-,Animal,1,1,0,0,-
2018,Jan-Jun 2018,Africa,South Africa,"Eastern Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Jackass Penguin",-,-,-,-,Animal,1,0,0,1,-
2018,Jan-Jun 2018,Africa,South Africa,"Eastern Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Swift tern",-,-,-,-,Animal,5,1,0,4,-
2018,Jan-Jun 2018,Africa,South Africa,"Gauteng","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Gauteng","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Domestic,"Birds",-,-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Gauteng","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Blue crane",-,-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Gauteng","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Sacred Ibis",-,-,-,-,Animal,1,0,0,0,-
2018,Jan-Jun 2018,Africa,South Africa,"Limpopo","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Limpopo","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Domestic,"Birds",-,-,-,85,Animal,11,0,0,11,-
2018,Jan-Jun 2018,Africa,South Africa,"Mpumalanga","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Mpumalanga","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Domestic,"Birds",-,-,-,40,Animal,1,0,0,1,-
2018,Jan-Jun 2018,Africa,South Africa,"North West Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"North West Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Domestic,"Birds",-,-,-,82,Animal,8,0,0,8,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,43,-,-,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Domestic,"Birds",-,-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"African black oystercatcher",-,-,-,-,Animal,1,0,0,1,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"African rock pigeon",-,-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Black-headed Heron",-,-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Blue crane",-,-,-,-,Animal,-,-,-,-,-
2018,Jan-Jun 2018,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Cape cormorant",-,-,-,-,Animal,6,1,0,5,-
